,floor_area_sqm,remaining_lease,no_of_mrt_within_1km,bus_dist,no_of_bus_within_1km,school_dist,no_of_schools_within_1km,mrt_dist,resale_price,town_ANG MO KIO,town_BEDOK,town_BISHAN,town_BUKIT BATOK,town_BUKIT MERAH,town_BUKIT PANJANG,town_BUKIT TIMAH,town_CENTRAL AREA,town_CHOA CHU KANG,town_CLEMENTI,town_GEYLANG,town_HOUGANG,town_JURONG EAST,town_JURONG WEST,town_KALLANG/WHAMPOA,town_MARINE PARADE,town_PASIR RIS,town_PUNGGOL,town_QUEENSTOWN,town_SEMBAWANG,town_SENGKANG,town_SERANGOON,town_TAMPINES,town_TOA PAYOH,town_WOODLANDS,town_YISHUN,flat_type_1 ROOM,flat_type_2 ROOM,flat_type_3 ROOM,flat_type_4 ROOM,flat_type_5 ROOM,flat_type_EXECUTIVE,flat_type_MULTI-GENERATION,storey_range_01 TO 03,storey_range_04 TO 06,storey_range_07 TO 09,storey_range_10 TO 12,storey_range_13 TO 15,storey_range_16 TO 18,storey_range_19 TO 21,storey_range_22 TO 24,storey_range_25 TO 27,storey_range_28 TO 30,storey_range_31 TO 33,storey_range_34 TO 36,storey_range_37 TO 39,storey_range_40 TO 42,storey_range_43 TO 45,storey_range_46 TO 48,storey_range_49 TO 51,flat_model_Adjoined flat,flat_model_Apartment,flat_model_DBSS,flat_model_Improved,flat_model_Improved-Maisonette,flat_model_Maisonette,flat_model_Model A,flat_model_Model A-Maisonette,flat_model_Model A2,flat_model_Multi Generation,flat_model_New Generation,flat_model_Premium Apartment,flat_model_Premium Apartment Loft,flat_model_Premium Maisonette,flat_model_Simplified,flat_model_Standard,flat_model_Terrace,flat_model_Type S1,flat_model_Type S2
53286,-1.2083112786796268,-1.0152434037907831,-0.22038997080466366,-0.4517098796334937,-0.06834983188141205,0.09608901181296578,0.591989806366814,0.4087499866658978,270000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53287,-1.002259462094995,-1.3825111736059823,-0.22038997080466366,1.9022366522774787,-0.8165438723711884,-0.9867795381273448,-0.3120269049085873,0.6659125587583465,295000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53288,-1.2495216419965531,-1.2472019952530142,-1.2910514781365379,-1.3486570128773774,-0.8165438723711884,-0.3161202488385935,1.4960065176422153,1.155270942026492,270000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53289,-1.2495216419965531,-1.2536452894602983,-1.2910514781365379,-1.3486570128773774,-0.8165438723711884,-0.3161202488385935,1.4960065176422153,1.155270942026492,230000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53290,-1.2083112786796268,-1.0216866979980674,-0.22038997080466366,-0.6382485738605347,0.30574718836347614,0.41027704108936136,0.591989806366814,0.5160576716037544,262500.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53291,-1.2495216419965531,-0.744625047084847,-1.2910514781365379,-0.17073414665035247,0.30574718836347614,1.114928534481804,-0.3120269049085873,0.9949186228859989,275000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53292,-0.9610490987780687,-1.1247794053146145,-0.22038997080466366,1.2678715912754193,0.30574718836347614,-0.5542219589330538,-1.2160436161839885,0.16987105738268915,326000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53293,-0.9610490987780687,-1.1247794053146145,-0.22038997080466366,-0.6967964495255712,2.176232289587917,0.5379540564640042,-1.2160436161839885,0.48537411260552193,290000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53294,-0.9610490987780687,-1.1247794053146145,-0.22038997080466366,0.051017021816989326,0.30574718836347614,-1.2900952195626905,-1.2160436161839885,-0.09013710961884344,330000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53295,-0.6313661922426578,-1.0861196400709092,-0.22038997080466366,-0.7746420134598864,1.0539412288532524,1.2745269511327062,-1.2160436161839885,0.601686753187357,338000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53296,-1.2083112786796268,-1.0925629342781935,-1.2910514781365379,0.7627579586807297,-1.1906408926160765,-1.3066134367054971,0.591989806366814,0.8601389367247447,290000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53297,-1.2083112786796268,-1.0925629342781935,-1.2910514781365379,0.7627579586807297,-1.1906408926160765,-1.3066134367054971,0.591989806366814,0.8601389367247447,260000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53298,-1.2495216419965531,-1.176325758972888,-1.2910514781365379,0.7627579586807297,-1.1906408926160765,-1.3066134367054971,0.591989806366814,0.8601389367247447,258000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53299,-1.2495216419965531,-1.1247794053146145,-1.2910514781365379,0.7627579586807297,-1.1906408926160765,-1.3066134367054971,0.591989806366814,0.8601389367247447,260000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53300,-0.9610490987780687,-1.1312226995218986,-0.22038997080466366,0.051017021816989326,0.30574718836347614,-1.2900952195626905,-1.2160436161839885,-0.09013710961884344,285000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53301,-1.2495216419965531,-0.7832848123285522,-1.2910514781365379,0.7627579586807297,-1.1906408926160765,-1.3066134367054971,0.591989806366814,0.8601389367247447,258000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53302,-1.2495216419965531,-1.176325758972888,-1.2910514781365379,0.7627579586807297,-1.1906408926160765,-1.3066134367054971,0.591989806366814,0.8601389367247447,238000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53303,-1.2495216419965531,-1.1505525821437512,-1.2910514781365379,1.0289898428872655,-0.06834983188141205,-0.43704063218850714,-0.3120269049085873,1.0081110770275186,260000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53304,-1.2495216419965531,-1.1892123473874563,-1.2910514781365379,0.20559771716505404,1.4280382490981407,0.17382338621741217,0.591989806366814,2.864227905540347,282000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53305,-1.2083112786796268,-0.7059652818411418,-1.2910514781365379,0.20559771716505404,1.4280382490981407,0.17382338621741217,0.591989806366814,2.864227905540347,269000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53306,-1.2495216419965531,-1.1505525821437512,-1.2910514781365379,0.20559771716505404,1.4280382490981407,0.17382338621741217,0.591989806366814,2.864227905540347,242000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53307,-1.2495216419965531,-1.1956556415947406,-1.2910514781365379,0.20559771716505404,1.4280382490981407,0.17382338621741217,0.591989806366814,2.864227905540347,288000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53308,-1.002259462094995,-1.2343154068384457,-1.2910514781365379,0.20559771716505404,1.4280382490981407,0.17382338621741217,0.591989806366814,2.864227905540347,290000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53309,-1.002259462094995,-1.2343154068384457,-1.2910514781365379,0.20559771716505404,1.4280382490981407,0.17382338621741217,0.591989806366814,2.864227905540347,305000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53310,-1.2495216419965531,-1.311634937325856,-1.2910514781365379,0.20559771716505404,1.4280382490981407,0.17382338621741217,0.591989806366814,2.864227905540347,285000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53311,-1.2495216419965531,-1.144109287936467,-0.22038997080466366,0.71454561813767,-1.1906408926160765,-1.1705735176424217,-0.3120269049085873,-0.8206433391340051,260000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53312,-0.9610490987780687,-1.2278721126311616,-0.22038997080466366,-0.3794280214016507,0.30574718836347614,0.4528434125925443,-1.2160436161839885,0.0457480303061194,262000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53313,-1.4967838218981113,-0.6286457513537315,-0.22038997080466366,-0.3794280214016507,0.30574718836347614,0.4528434125925443,-1.2160436161839885,0.0457480303061194,240000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53314,-1.2495216419965531,-0.712408576048426,-0.22038997080466366,-0.3794280214016507,0.30574718836347614,0.4528434125925443,-1.2160436161839885,0.0457480303061194,265000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53315,-1.2495216419965531,-1.208542230009309,-0.22038997080466366,-0.3794280214016507,0.30574718836347614,0.4528434125925443,-1.2160436161839885,0.0457480303061194,266000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53316,-1.2495216419965531,-0.712408576048426,-0.22038997080466366,-0.3794280214016507,0.30574718836347614,0.4528434125925443,-1.2160436161839885,0.0457480303061194,253000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53317,-1.5379941852150376,-0.6350890455610156,-0.22038997080466366,-0.3794280214016507,0.30574718836347614,0.4528434125925443,-1.2160436161839885,0.0457480303061194,235000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53318,-0.9198387354611423,-1.0345732864126358,-1.2910514781365379,1.7032477227741512,0.6798442086083643,2.310094747050528,-1.2160436161839885,1.0352012161595128,305000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53319,-0.6313661922426578,-1.0539031690344882,-1.2910514781365379,1.7032477227741512,0.6798442086083643,2.310094747050528,-1.2160436161839885,1.0352012161595128,358000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53320,-1.2495216419965531,-1.0603464632417725,-0.22038997080466366,-1.478192250851409,0.30574718836347614,-0.7362715663856394,1.4960065176422153,0.09406215068523656,285000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53321,-0.9198387354611423,-1.0345732864126358,-1.2910514781365379,1.7032477227741512,0.6798442086083643,2.310094747050528,-1.2160436161839885,1.0352012161595128,340000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53322,-1.2083112786796268,-1.0474598748272042,-0.22038997080466366,1.4944435626983654,-0.44244685212630025,0.22735387554286202,-1.2160436161839885,0.2036901660412578,240000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53323,-1.2083112786796268,-1.0539031690344882,-0.22038997080466366,-1.0543346674956506,-1.938834933105853,0.45777863493727244,-0.3120269049085873,-0.9335085810417882,250000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53324,-1.2495216419965531,-0.7317384586702785,-0.22038997080466366,-1.0543346674956506,-1.938834933105853,0.45777863493727244,-0.3120269049085873,-0.9335085810417882,312000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53325,-0.6725765555595842,-1.0667897574490568,-0.22038997080466366,-1.0543346674956506,-1.938834933105853,0.45777863493727244,-0.3120269049085873,-0.9335085810417882,335000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53326,-0.26047292239032066,-0.9379238733033728,-0.22038997080466366,1.2302606816555806,0.6798442086083643,-0.46294675194657864,-0.3120269049085873,0.18410015381668568,428000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53327,0.02799962082816384,-1.3309648199477087,-1.2910514781365379,-1.3486570128773774,-0.8165438723711884,-0.3161202488385935,1.4960065176422153,1.155270942026492,408000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53328,-0.13684183243954157,1.4267651007699265,-0.22038997080466366,-1.2923550620738342,-0.06834983188141205,0.4234102750974413,-0.3120269049085873,0.2616699585506171,500000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53329,-0.05442110580568887,1.4267651007699265,-0.22038997080466366,-0.3458240118500491,-0.44244685212630025,0.12198921484760525,-0.3120269049085873,0.35363427215252086,750000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53330,-0.2192625590733943,-1.0152434037907831,-0.22038997080466366,0.6809670274842794,0.30574718836347614,1.262180085595954,-1.2160436161839885,0.46760955195612935,370000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53331,-0.2192625590733943,-1.1312226995218986,-0.22038997080466366,-0.27267476136764107,-0.06834983188141205,0.6350745851977044,-1.2160436161839885,0.6593887830165358,380000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53332,-0.2192625590733943,-1.0216866979980674,-1.2910514781365379,0.7627579586807297,-1.1906408926160765,-1.3066134367054971,0.591989806366814,0.8601389367247447,380000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53333,-0.2192625590733943,-1.176325758972888,-1.2910514781365379,0.7627579586807297,-1.1906408926160765,-1.3066134367054971,0.591989806366814,0.8601389367247447,409000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
